"연번","병원 명","설립형태","근거 법령","관계 행정기관","관계 공공단체","심평원 요양기관번호","종별구분","병상수","소재지 우편번호","주소","홈페이지","대표전화","FAX","비고"
"13","경기도의료원 의정부병원","특수법인","지방의료원의 설립 및 운영에 관한 법률","보건복지부(경기도)","지방의료원","31100287","종합병원","227","11671","경기도 의정부시 흥선로 142 (의정부동)","http://www.medical.or.kr/_uj_gpmc/","031-828-5000","031-828-5024",""
"14","경기도의료원 포천병원","특수법인","지방의료원의 설립 및 운영에 관한 법률","보건복지부(경기도)","지방의료원","31100317","종합병원","150","11142","경기도 포천시 포천로 1648(신읍동)","http://www.medical.or.kr/_pc_gpmc/","031-539-9114","031-532-0137",""
"15","경기도의료원 파주병원","특수법인","지방의료원의 설립 및 운영에 관한 법률","보건복지부(경기도)","지방의료원","31100325","종합병원","192","10922","경기도 파주시 중앙로 207(금촌동)","http://www.medical.or.kr/_pj_gpmc/","031-940-9100","031-944-7729",""
"16","경기도노인전문 용인병원","시도립","경기도노인전문병원 설치 및 운영에 관한 조례","경기도","해당없음","31282628","요양병원","199","17089","경기도 용인시 기흥구 중부대로 940","www.silvernet.or.kr","031-288-0400","031-288-0405",""
"17","경기도노인전문 평택병원","시도립","경기도노인전문병원 설치 및 운영에 관한 조례","경기도","해당없음","31284311","요양병원","230","17723","경기도 평택시 삼남로 312(도일동)","goodmsilver.co.kr","031-669-9988","031-669-9933",""
"18","경기도노인전문 시흥병원","시도립","경기도노인전문병원 설치 및 운영에 관한 조례","경기도","해당없음","31283535","요양병원","264","14978","경기도 시흥시 하중로 285","www.gshospital.com","031-500-7100","031-500-7382",""
"19","경기도노인전문여주병원","시도립","경기도노인전문병원 설치 및 운영에 관한 조례","경기도","해당없음","31282610","요양병원","189","12613","경기도 여주시 북내면 도예로 361-14","www.noinhospital.or.kr","031-886-4100","031-886-4055","2006(증축)"
"20","경기도노인전문 남양주병원","시도립","경기도노인전문병원 설치 및 운영에 관한 조례","경기도","해당없음","31283331","요양병원","231","12025","경기도 남양주시 수동면 외방로 172번길32","www.gngh.or.kr/","031-590-5000","031-590-5010",""
"21","경기도노인전문 동두천병원","시도립","경기도노인전문병원 설치 및 운영에 관한 조례","경기도","해당없음","31281982","요양병원","199","11322","경기도 동두천시 탑신로 536","gdsilver.co.kr","031-860-4114","031-860-4116",""
"22","경기도립정신병원","시도립","경기도립정신병원 설치 및 운영에 관한 조례","경기도","해당없음","31202284","병원","270","17089","경기도 용인시 기흥구 중부대로 940","www.yonginmh.co.kr","031-288-0114","031-288-0107",""
"23","안산시립 노인전문병원","시군구립","안산시립 노인전문병원 설치 및 운영에 관한 조례","경기도","해당없음","31281362","요양병원","226","15585","경기 안산시 상록구 차돌배기로 24","http://www.bumomam.or.kr","031-8040-5114","031-408-5113",""
"24","부천시립 노인전문병원","시군구립","부천시 노인전문병원 및 노인복지시설 설치.운영에 관한 조례","경기도","해당없음","31287221","요양병원","248","14478","경기도 부천시 까치로 26","www.bucheongeriatrichospital.com","032-713-7300","032-713-7333",""
"25","경상남도립 통영노인전문병원","시도립","경상남도립 정신병원 및 노인전문병원 설치조례","경상남도","해당없음","38280817","요양병원","280","53000","경남 통영시 도산면 남해안대로1818","http://www.gnsilver.com","055-640-1900","055-640-1909",""
"26","경상남도립정신병원","시도립","경상남도립 정신병원 및  노인전문병원 설치조례","경상남도","해당없음","38200961","병원","350","52509","경남 사천시 축동면 서삼로 1110-35","www.soon-young.co.kr","055-854-6000","055-854-7009",""
"27","경상남도립 사천노인전문병원","시도립","경상남도립 정신병원 및 노인전문병원 설치조례","경상남도","해당없음","38282631","요양병원","228","52509","경남 사천시 축동면 서삼로1110-35","http://www.4000silver.com","055-794-2900","055-794-1299",""
"28","시립창원 요양병원","시군구립","창원시립요양병원의 설치 및 운영에 관한 조례","경상남도","해당없음","38280141","요양병원","175","51104","창원시 의창구 북면 단내로 499-32","http://www.hyomind.co.kr","055-298-2442","055-298-7476",""
"29","경상남도립 김해노인전문병원","시도립","경상남도립 정신병원 및 노인전문병원 설치조례","경상남도","해당없음","38280329","요양병원","175","50880","경남 김해시 김해대로 1814-39(삼계동)","http//www.gimhaenoin.co.kr","055-330-2000","055-330-2004",""
"30","경상남도립 양산노인전문병원","시도립","경상남도립 정신병원 및 노인전문병원 설치조례","경상남도","해당없음","38280353","요양병원","199","50509","경상남도 양산시 상북면 양산대로 1870-64","http://www.gygh.co.kr","055-375-7275","055-375-7582",""
"31","거창군립 노인요양병원","시군구립","거창군립노인요양병원 설치 및 운영조례","경상남도","해당없음","38280396","요양병원","100","50141","경상남도 거창군 거창읍 운정3길 180","http://www.gcnoin.or.kr","055-943-3333","055-943-9815",""
"32","경상남도 마산의료원","특수법인","지방의료원의 설립 및 운영에 관한 법률","보건복지부(경상남도)","지방의료원","38100029","종합병원","286","51264","창원시 마산합포구3.15대로 231","http://www.mmc.or.kr/","055-249-1000","055-249-1008",""
"33","남해군립 노인전문병원","시군구립","남해군립 노인전문병원 설치 및 운영 조례","경상남도","해당없음","38281121","요양병원","95","52417","경상남도 남해군 남해읍 화전로173-1","없음","055-864-2201","055-864-0022",""
"34","시립마산 요양병원","시군구립","창원시립요양병원의 설치 및 운영에 관한 조례","경상남도","해당없음","38281228","요양병원","295","51777","경상남도 창원시 마산합포구 현동로 15","http://www.taebonghp.co.kr","055-221-2700","055-221-2755",""
"35","의령군립노인전문병원","시군구립","의령군립 노인전문병원 설치 및 운영조례","경상남도","해당없음","38283191","요양병원","140","52103","경상남도 의령군 부림면 대한로 1655","http://www.silvermedi.or.kr","055-574-0009","055-573-5119",""
"36","경상북도 포항의료원","특수법인","지방의료원의 설립 및운영에 관한 법률","경상북도","지방의료원","37100041","종합병원","297","37688","경상북도 포항시 북구 용흥로 36","http://www.pmc.or.kr","054-247-0551","054-247-0559",""
"37","경상북도 김천의료원","특수법인","지방의료원의 설립 및 운영에 관한 법률","경상북도","지방의료원","37100394","종합병원","260","39579","경상북도 김천시 모암길 24(모암동)","www.gcmc.or.kr","054-429-8114","054-433-8254",""
"38","경상북도 안동의료원","특수법인","지방의료원의 설립 및 운영에 관한 법률","경상북도","지방의료원","37100351","종합병원","210","36694","경상북도 안동시 태사2길 55","http://amc.or.kr","054-850-6000","054-858-8950",""
"39","울진군의료원","특수법인","지방의료원의 설립 및 운영에 관한 법률","울진군","지방의료원","37201603","병원","79","36324","경상북도 울진군 울진읍 현내항길 71","http://www.umc.or.kr","054-785-7000","054-785-7020",""
"40","경상북도포항노인전문요양병원","도립","경상북도립노인전문요양병원설치 및 운영 조례","경상북도","해당없음","37280511","요양병원","166","37688","경상북도 포항시 북구 용흥로 36","http://www.pmc.or.kr","054-247-0551","054-247-0559",""
"41","경주시립 노인전문요양병원","시립","경주시립노인전문요양병원 설치 및 운영 조례","경상북도","해당없음","37281372","요양병원","199","38049","경상북도 경주시 현곡면 충현로 610-120","http://www.kjho.co.kr/","054-743-6200","054-743-3663",""
"42","경상북도립김천노인전문요양병원","도립","경상북도립김천노인전문요양병원 설치 및 운영조례제 4조의 규정","경상북도","해당없음","37280295","요양병원","236","39500","경상북도 김천시 어모면 신애길 100-10","www.gimcheonhp.co.kr","054-420-7200","054-437-6005",""
"43","구미시립 노인요양병원","시립","구미시립노인요양병원 설치 및 운영 조례","경상북도","해당없음","37281313","요양병원","258","39203","경상북도 구미시 야은로 37-1","http://www.gumihosp.or.kr/","054-440-1000","054-440-1051",""
"44","경상북도립 안동노인전문요양병원","도립","경상북도립노인전문요양병원설치 및 운영조례","경상북도","해당없음","37280015","요양병원","402","36755","경상북도 안동시 남후면 남일로 1463","www.andongyuri.co.kr","054-851-6000","054-851-6474",""
"45","영주시립노인전문요양병원","시립","영주시립노인전문요양병원 설치 및 운영 조례","경상북도","해당없음","37281569","요양병원","199","36051","경상북도 영주시 안정면 장안로 697","www.yjctm.com/","054-631-1500","054-631-1504",""
"46","상주시립 노인요양병원","시립","상주시 노인전문요양병원 설치 및 운영 조례","경상북도","해당없음","37281721","요양병원","233","37242","경상북도 상주시 용마로 190-45(도남동)","www.sjsh.co.kr","054-530-5300","054-532-5301",""
"47","시립문경요양병원","시립","문경시 시립노인전문요양병원 설치 및 운영 조례","경상북도","해당없음","37280996","요양병원","199","36917","경상북도 문경시 문경읍 여우목로 31","http://mg.dhu.ac.kr","054-550-7000","054-571-1540",""
"48","경상북도립 경산노인전문요양병원","도립","경상북도립노인전문요양병원설치및운영조례","경상북도","해당없음","37280040","요양병원","320","38646","경산시 경안로 23-10","gssilver.co.kr","053-816-3322","053-816-3305",""
"49","의성군공립요양병원","군립","의성군공립요양병원 설치 및 운영에 관한 조례","경상북도","해당없음","37283219","요양병원","170","37333","경상북도 의성군 의성읍 안평의성로 1122-30","http://www.uschp.kr","054-834-7400","054-834-9916",""
"50","군립청도노인요양병원","군립","청도군립노인요양병원설치 및 운영 조례","경상북도","해당없음","37280228","요양병원","95","38329","경북 청도군 화양읍 청화로 79-7","없음","054-370-5450","054-370-5555",""
"51","고령군립요양병원","군립","고령군립노인복지병원 설치 및 운영 조례","경상북도","해당없음","37280198","요양병원","94","40135","경상북도 고령군 대가야읍 중앙로 31","gyhospital.co.kr","054-956-8700","054-956-8702",""
"52","칠곡군립노인요양병원","군립","칠곡군립 노인전문 요양병원 설치 및 운영 조례","경상북도","해당없음","37281691","요양병원","136","39912","경상북도 칠곡군 왜관읍 금남5길 58","www.chilgok8899,kr","054-976-7777","054-976-7780",""
"53","봉화군립노인전문요양병원","군립","봉화군립노인전문요양병원설치 및 운영조례","경상북도","해당없음","37280252","요양병원","139","36239","경상북도 봉화군 봉화읍 보밑길 9","www.bhhospital.co.kr","054-674-0011","054-674-0010",""
"54","울진군의료원요양병원","군립","의료법","경상북도","해당없음","37282026","요양병원","75","36324","경상북도 울진군 울진읍 현내항길 71","http://www.umc.or.kr","054-785-7000","054-785-7622",""
"55","울릉군 노인요양병원","군립","울릉군 노인전문 요양병원 설치 및 운영조례","경상북도","해당없음","37281631","요양병원","42","40217","경상북도 울릉군 울릉읍 울릉순환로 396-18","없음","054-790-6923","054-791-8843",""
"56","근로복지공단 인천병원","특수법인","산업재해보상보험법","고용노동부","근로복지공단","31101208","종합병원","354","21417","인천광역시 부평구 무네미로 446(구산동)","www.kcomwel.or.kr/hospital/incheon","032-500-0114","032-512-9932",""
"57","근로복지공단 안산병원","특수법인","산업재해보상보험법","고용노동부","근로복지공단","31101020","종합병원","462","15324","경기도 안산시 상록구 구룡로 87(일동)","www.kcomwel.or.kr/hospital/ansan","031-500-1114","031-506-8002",""
"58","근로복지공단 창원병원","특수법인","산업재해보상보험법","고용노동부","근로복지공단","38100517","종합병원","260","51524","경상남도 창원시 성산구 창원대로 721(중앙동)","www.kcomwel.or.kr/hospital/changwon","055-280-7777","055-282-5578",""
"59","근로복지공단 대구병원","특수법인","산업재해보상보험법","고용노동부","근로복지공단","37203631","병원","235","41405","대구광역시 북구 학정로 515(학정동)","www.kcomwel.or.kr/hospital/daegu","053-715-7575","053-715-7729",""
"60","근로복지공단 순천병원","특수법인","산업재해보상보험법","고용노동부","근로복지공단","36100749","종합병원","270","57947","전라남도 순천시 조례 1길 24(조례동)","www.kcomwel.or.kr/hospital/suncheon","061-720-7114","061-720-7102",""
"61","근로복지공단 대전병원","특수법인","산업재해보상보험법","고용노동부","근로복지공단","34100326","종합병원","294","34384","대전광역시 대덕구 계족로 637(법동)","www.kcomwel.or.kr/hospital/daejeon","042-670-5114","042-631-8260",""
"62","근로복지공단 태백병원","특수법인","산업재해보상보험법","고용노동부","근로복지공단","32100221","종합병원","464","26052","강원도 태백시 보드미길8(장성동)","www.kcomwel.or.kr/hospital/taebaek","033-580-3114","033-581-8547",""
"63","근로복지공단 동해병원","특수법인","산업재해보상보험법","고용노동부","근로복지공단","32200935","병원","333","25738","강원도 동해시 하평로 11(평릉동)","www.kcomwel.or.kr/hospital/donghae","033-530-3100","033-532-3150",""
"64","근로복지공단 정선병원","특수법인","산업재해보상보험법","고용노동부","근로복지공단","32200927","병원","210","26129","강원도 정선군 정선읍 봉양1길 145(봉양4리)","www.kcomwel.or.kr/hospital/jeongseon","033-560-7100","033-562-8110",""
"65","근로복지공단 경기요양병원","특수법인","산업재해보상보험법","고용노동부","근로복지공단","31283543","요양병원","135","18558","경기도 화성시 우정읍 쌍봉로 465-4(화수리)","www.kcomwel.or.kr/hospital/gyeonggi","031-351-3083","031-351-3086",""
"66","광주시립정신병원","시도립","광주광역시립정신병원 및 요양병원 설치 · 운영조례","광주광역시","해당없음","36201197","병원","296","62407","광주광역시 광산구 삼도로 84-3(삼거동)","www.gcmh.or.kr","062-949-5200","062-944-5225",""
"67","광주시립제1요양병원","시도립","광주광역시립정신병원 및 요양병원 설치 · 운영조례","광주광역시","해당없음","36280054","요양병원","263","62407","광주광역시 광산구 삼도로 84-3(삼거동)","www.gcdh.or.kr","062-949-5250","062-944-2526",""
"68","광주시립제2요양병원","시도립","광주광역시립정신병원 및 요양병원 설치 · 운영조례","광주광역시","해당없음","36281603","요양병원","148","61748","광주광역시 남구 덕남길 100","www.gjcityhospital.or.kr","062-612-9800","062-612-9898",""
"69","호남권역재활병원","시도립","장애인복지법 59조, 광주광역시 호남권역재활병원 설치 및 운영 조례","광주광역시","해당없음","36203718","병원","173","61027","광주광역시 북구 하서로 590(본촌동)","http://honam.chosun.ac.kr","062-613-9000","062-573-2206",""
"70","강원대학교병원","특수법인","국립대학병원 설치법","교육부","국립대학병원","32100213","종합병원","634","24289","강원도 춘천시 백령로 156","https://www.knuh.or.kr","033-258-2000","",""
"71","강릉원주대학교치과병원","특수법인","국립대학치과병원 설치법","교육부","국립대학치과병원","32400012","치과병원","15","25457","강원도 강릉시 죽헌로 7","http://www.gwnudh.or.kr","033-640-3114","033-640-3113",""
"72","충남대학교병원","특수법인","국립대학병원 설치법","교육부","국립대학병원","34100016","상급종합병원","1353","35015","대전광역시 중구 문화로 282","https://www.cnuh.co.kr","042-280-7100","",""
"73","경북대학교병원","특수법인","국립대학병원 설치법","교육부","국립대학병원","37100017","상급종합병원","889","41944","대구광역시 중구 동덕로 130","http://www.knuh.kr/","053-200-5114","",""
"74","경북대학교치과병원","특수법인","국립대학치과병원 설치법","교육부","국립대학치과병원","37400592","치과병원","0","41940","대구광역시 중구 달구벌대로 2175번지","http://www.knudh.kr/","053-600-7114","053-600-7113",""
"75","칠곡경북대학교병원","특수법인","국립대학병원 설치법","교육부","국립대학병원","37100467","종합병원","605","41404","대구광역시 북구 호국로 807","http://www.knumc.org/","053-200-2114","053-200-3339",""
"76","제주대학교병원","특수법인","국립대학병원설치법","교육부","국립대학병원","39100103","종합병원","633","63241","제주특별자치도 아란13길 15(아라일동)","http://www.jejunuh.co.kr","064-717-1114","064-757-8276",""
"77","부산대학교병원","특수법인","국립대학병원 설치법","교육부","국립대학병원","21100021","상급종합병원","1310","49241","부산광역시 서구 구덕로 179","http://www.pnuh.or.kr/pnuh","051-240-7000","",""
"78","양산부산대학교병원","특수법인","국립대학병원 설치법","교육부","국립대학병원","38100509","상급종합병원","1174","50612","경남 양산시 물금읍 금오로 20","http://www.pnuyh.or.kr/pnuh","055-360-1000","",""
"79","부산대학교한방병원","특수법인","국립대학병원 설치법","교육부","국립대학병원","38920280","한방병원","100","50612","경남 양산시 물금읍 금오로 20","http://www.pnukh.or.kr/pnuch","055-360-5555","",""
"80","부산대학교치과병원","특수법인","국립대학치과병원 설치법","교육부","국립대학치과병원","38400286","치과병원","30","50612","경상남도 양산시 물금읍 금오로 20","http://www.pnudh.co.kr/pnudh","055-360-5114","",""
"81","전북대학교병원","특수법인","국립대학병원 설치법","교육부","국립대학병원","35100010","상급종합병원","1102","54907","전라북도 전주시 덕진구 건지로 20","http://www.cuh.co.kr","1577-7877","063-275-4291",""
"82","전북대학교 치과병원","특수법인","국립대학치과병원 설치법","교육부","국립대학치과병원","35400064","치과병원","0","54907","전라북도 전주시 덕진구 건지로 20","http://dental.cuh.co.kr/","1577-7877","",""
"83","경상대학교병원","특수법인","국립대학병원설치법","교육부","국립대학병원","38100215","상급종합병원","919","52727","경상남도 진주시 강남로 79 경상대학교병원","https://www.gnuh.co.kr","055-750-8000","055-750-9094",""
"84","창원경상대학교병원","특수법인","국립대학병원설치법","교육부","국립대학병원","38100631","종합병원","400","54172","경상남도 창원시 성산구 삼정자로 11","https://www.gnuch.co.kr","055-214-1000","055-214-1031",""
"85","충북대학교병원","특수법인","국립대학병원설치법","교육부","국립대학병원","33100128","상급종합병원","720","28644","충북 청주시 서원구 1순환로 776 충북대학교병원","https://www.cbnuh.or.kr/","043-269-6114","",""
"86","서울대학교병원","특수법인","서울대학교병원 설치법","교육부","서울대학교병원","11100079","상급종합병원","1786","003-080","서울특별시 종로구 대학로 101","http://www.snuh.org/","02-2072-2114","",""
"87","분당서울대학교병원","특수법인","서울대학교병원 설치법","교육부","서울대학교병원","31100813","상급종합병원","1318","13620","경기도 성남시 분당구 구미로 173번길 82","https://www.snubh.org/","031-787-1009","031-787-4020",""
"88","서울대학교치과병원","특수법인","서울대학교치과병원 설치법","교육부","서울대학교치과병원","11400668","치과병원","40","003-080","서울특별시 종로구 대학로 101","http://www.snudh.or.kr/","02-2072-2655","",""
"89","전남대학교병원","특수법인","국립대학병원 설치법","교육부","국립대학병원","36100013","상급종합병원","1013","501-757","광주광역시 동구 제봉로 42","http://www.cnuh.com","062-220-5011","062-225-8330",""
"90","화순전남대학교병원","특수법인","국립대학병원 설치법","교육부","국립대학병원","36100498","상급종합병원","683","519-763","전라남도 화순군 화순읍 서양로 322","https://www.cnuhh.com/","1899-0000","",""
"91","빛고을전남대학교병원","특수법인","국립대학병원 설치법","교육부","국립대학병원","36203947","병원","189","503-340","광주광역시 남구 덕남길 80","http://www.cnubh.com/","062-670-9415","",""
"92","전남대학교치과병원","특수법인","국립대학치과병원 설치법","교육부","국립대학치과병원","36400122","치과병원","14","500-757","광주광역시 북구 용봉로 33","http://www.cnudh.co.kr/","062-530-5500","062-530-5590",""
"93","한국보훈복지의료공단 중앙보훈병원","특수법인","한국보훈복지의료공단법","국가보훈처","한국보훈복지의료공단","11100231","종합병원","1001","005-368","서울시 강동구 진황도로 61길 53","http://seoul.bohun.or.kr","02-2225-1111","02-2225-4364",""
"94","한국보훈복지의료공단 부산보훈병원","특수법인","한국보훈복지의료공단법","국가보훈처","한국보훈복지의료공단","21100292","종합병원","546","46996","부산광역시 사상구 백양대로 420","http://busan.bohun.or.kr","051-601-6000","051-601-6079",""
"95","한국보훈복지의료공단 대구보훈병원","특수법인","한국보훈복지의료공단법","국가보훈처","한국보훈복지의료공단","37100220","종합병원","498","42835","광주광역시 광산구 첨단월봉로 99","http://gwangju.bohun.or.kr/","062-602-6114","062-602-6980",""
"96","광주보훈병원","특수법인","한국보훈복지의료공단법","국가보훈처","한국보훈복지의료공단","36100137","종합병원","584","62284","대구광역시 달서구 월곡로 60","http://daegu.bohun.or.kr/","053-630-7000","053-630-7089",""
"97","대전보훈병원","특수법인","한국보훈복지의료공단법","국가보훈처","한국보훈복지의료공단","34100237","종합병원","398","34314","대전광역시 대덕구 대청로 82번길 147","http://daejeon.bohun.or.kr","042-939-0114","042-934-4401",""
"98","서울지구병원","국립","국군조직법","국방부","해당없음","11202009","병원","30","003-050","서울시 종로구 삼청로10길 13","없음","02-397-3990","02-397-3999",""
"99","국군부산병원","국립","국군조직법","국방부","해당없음","21201137","병원","260","48067","부산특별시 해운대구 세실로186","없음","051-702-9147","051-703-9147",""
"100","국군대전병원","국립","국군조직법","국방부","해당없음","34200461","병원","575","34059","대전시 유성구 자운로 90","없음","1688-9152","042-861-8188",""
"101","국군일동병원","국립","국군조직법","국방부","해당없음","31201539","병원","250","11123","경기도 포천시 화현면 화동로 564","없음","031-531-0803","031-531-0803",""
"102","국군청평병원","국립","국군조직법","국방부","해당없음","31201521","병원","350","12402","경기도 가평군 청평면 경춘로 926","없음","031-585-6100","031-584-9579",""
"103","국군양주병원","국립","국군조직법","국방부","해당없음","31201547","병원","500","11506","경기도 양주시 은현면 화합로 1133","없음","031-863-1319","031-863-6465",""
"104","국군고양병원","국립","국군조직법","국방부","해당없음","31201555","병원","250","10268","경기도 고양시 덕양구 혜음로 215","없음","031-963-6657","031-914-9902",""
"105","국군수도병원","국립","국군조직법","국방부","해당없음","31100759","종합병원","660","13574","경기도 성남시 분당구 새마을로 177번길 81","없음","031-725-5490","031-706-0987",""
"106","국군춘천병원","국립","국군조직법","국방부","해당없음","32200293","병원","230","24207","강원도 춘천시 방고개길 57번","없음","033-243-0130","033-243-6250",""
"107","국군홍천병원","국립","국군조직법","국방부","해당없음","32200307","병원","230","25164","강원도 홍천군 두촌면 아홉사리로 43","없음","033-435-0473","033-435-2511",""
"108","국군강릉병원","국립","국군조직법","국방부","해당없음","32200315","병원","180","25422","강원도 강릉시 주문진읍 동해대로 4371-34","없음","033-662-7802","033-662-5540",""
"109","국군원주의원","국립","국군조직법","국방부","해당없음","32315597","의원","29","26304","강원도 원주시 소초면 북원로 3223번지","없음","033-735-0181","033-735-5074",""
"110","백두병원(21사단 의무대)","국립","국군조직법","국방부","해당없음","32200781","병원","59","24513","강원도 양구군 양구읍 금강산로 510 백두병원","없음","033-480-5103","",""
"111","공군항공우주의료원","국립","국군조직법","국방부","해당없음","33200912","병원","100","363-849","충북 청원군 남일면 단재로 635 사서함 335-21호","없음","043-290-5420","",""
"112","계룡대지구병원","국립","국군조직법","국방부","해당없음","34200487","병원","36","321-929","충남 계룡시 신도안면 부남리 사서함 501-37호","없음","042-550-4758","",""
"113","육군훈련소 지구병원","국립","국군조직법","국방부","해당없음","34200479","병원","100","320-832","충남 논산시 연무읍 득안대로 450-8, 사서함76-16호","없음","041-740-7812","",""
"114","국군함평병원","국립","국군조직법","국방부","해당없음","36200883","병원","500","57116","전남 함평군 해보면 신해로 1027","없음","061-390-5114","061-324-1763",""
"115","국군대구병원","국립","국군조직법","국방부","해당없음","37200674","병원","500","38427","경북 경산시 하양읍 은호리 대경로 425-41","없음","053-750-1716","053-854-0822",""
"116","해군해양의료원","국립","국군조직법","국방부","해당없음","38200988","병원","160","51698","경남 창원시 진해구 진해대로 963해군해양의료원","없음","055-549-1727","055-547-9437",""
"117","해군포항병원","국립","국군조직법","국방부","해당없음","37200682","병원","120","790-909","경북 포항시 남구 오천읍 충무로 70 사서함 209-141호","없음","054-290-2452","054-290-2405",""
"118","국립교통재활병원","국립","자동차손해배상보장법 제31조","국토교통부","해당없음","31209601","병원","174","12564","경기도 양평군 양평읍 중앙로 260","www.cmcntrh.or.kr","031-580-5555","031-580-5209",""
"119","대구의료원","특수법인","지방의료원의 설립 및 운영에 관한 법률","대구광역시","지방의료원","37100181","종합병원","544","41845","대구광역시 서구 평리로 157","http://www.daegumc.co.kr","053-560-7575","053-556-4465",""
"120","대구광역시 시지노인전문병원","시도립","대구광역시 노인전문병원설치.운영조례","대구광역시","해당없음","37280104","요양병원","251","42280","대구광역시 수성구 유니버시아드로 365","www.yes-naebumo.or.kr","053-812-1212","053-812-9600",""
"121","대구광역시 서부노인전문병원","시도립","대구광역시 노인전문병원설치.운영조례","대구광역시","해당없음","37280856","요양병원","242","41845","대구광역시 서구 와룡로 298-13번지","http://dgsbgh.daegumc.co.kr","053-570-7575","053-570-7640",""
"122","대구정신병원","시도립","대구광역시 대구정신병원 설치 및 운영에 관한 조례","대구광역시","해당없음","37204491","병원","360","42694","대구광역시 달성군 화원읍 명천로 58","http://www.daegumental.co.kr","053-630-3000","053-632-9233",""
"123","대전광역시립제1노인전문병원","시도립","대전광역시 노인전문병원설치 및 운영조례","대전광역시","해당없음","34280189","요양병원","199","34101","대전광역시 유성구 유성대로 1422(방현동)","http://www.ilovenoin.com","042-280-5000","042-280-5001",""
"124","대전광역시립정신병원","시도립","대전광역시립정신병원 설치조례","대전광역시","해당없음","34200509","병원","199","34206","대전광역시 유성구 진잠옛로 135번길 87(학하동)","http://www.ssbw.co.kr/","042-823-4401","042-823-4405",""
"124","대전광역시립정신병원","시도립","대전광역시립정신병원 설치조례","대전광역시","해당없음","34200509","병원","199","34206","대전광역시 유성구 진잠옛로 135번길 87(학하동)","http://www.ssbw.co.kr/","042-823-4402","",""
"124","대전광역시립정신병원","시도립","대전광역시립정신병원 설치조례","대전광역시","해당없음","34200509","병원","199","34206","대전광역시 유성구 진잠옛로 135번길 87(학하동)","http://www.ssbw.co.kr/","042-823-4403","",""
"124","대전광역시립정신병원","시도립","대전광역시립정신병원 설치조례","대전광역시","해당없음","34200509","병원","199","34206","대전광역시 유성구 진잠옛로 135번길 87(학하동)","http://www.ssbw.co.kr/","042-823-4404","",""
